date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2020-12-31,AMP,USD,0000820027,2021-02-24,2021-02-24 15:26:03,2020,Q4,6845000000,36283000000,43128000000,7835000000,0,-48405000000,2558000000,0,0,0,0,36292000000,0,0,0,163325000000,165883000000,936000000,200000000,0,0,0,1136000000,4700000000,17641000000,0,-19510000000,2831000000,156049000000,44000000,160016000000,0,3000000,15292000000,629000000,-10057000000,5867000000,5867000000,165883000000,0,165883000000,72575000000,4900000000,-1945000000,https://www.sec.gov/Archives/edgar/data/820027/000082002721000012/0000820027-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002721000012/amp-20201231.htm
2020-09-30,AMP,USD,0000820027,2020-11-09,2020-11-09 15:43:47,2020,Q3,7668000000,35959000000,43627000000,7392000000,0,-48468000000,2551000000,0,0,0,0,35959000000,0,0,0,156136000000,158687000000,1770000000,200000000,0,0,0,1970000000,4687000000,16818000000,0,-18672000000,2833000000,147817000000,47000000,152620000000,0,3000000,15241000000,516000000,-9693000000,6067000000,6067000000,158687000000,0,158687000000,71918000000,4887000000,-2781000000,https://www.sec.gov/Archives/edgar/data/820027/000082002720000074/0000820027-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000074/amp-20200930.htm
2020-06-30,AMP,USD,0000820027,2020-08-10,2020-08-10 16:55:25,2020,Q2,7703000000,34442000000,42145000000,7295000000,0,-47024000000,2416000000,0,0,0,0,34452000000,0,73588000000,108040000000,0,110456000000,0,200000000,0,0,143929000000,144129000000,4273000000,16070000000,0,-16070000000,4273000000,0,51000000,148402000000,0,3000000,15510000000,394000000,-9407000000,6500000000,6500000000,154902000000,0,154902000000,68894000000,4473000000,-3230000000,https://www.sec.gov/Archives/edgar/data/820027/000082002720000064/0000820027-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000064/amp-20200630.htm
2020-03-31,AMP,USD,0000820027,2020-05-11,2020-05-11 15:58:40,2020,Q1,8829000000,31846000000,40675000000,7188000000,0,-45015000000,2848000000,0,0,0,0,31854000000,0,0,0,142834000000,145682000000,0,200000000,0,0,135123000000,135323000000,3666000000,17010000000,0,-17010000000,3666000000,0,54000000,138989000000,0,3000000,16180000000,-295000000,-9195000000,6693000000,6693000000,145682000000,0,145682000000,63700000000,3866000000,-4963000000,https://www.sec.gov/Archives/edgar/data/820027/000082002720000042/0000820027-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000010/amp12312019.htm
2020-12-31,BAC,USD,0000070858,2021-02-24,2021-02-24 16:56:31,2020,Q4,387009000000,234491000000,621500000000,81157000000,0,0,0,11000000000,68951000000,0,68951000000,792194000000,0,0,0,2819627000000,2819627000000,0,19321000000,0,0,0,0,262934000000,0,0,0,0,2546703000000,0,2546703000000,24510000000,85982000000,164088000000,-1656000000,0,272924000000,272924000000,2819627000000,0,2819627000000,1026685000000,282255000000,-104754000000,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/0000070858-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/bac-20201231.htm
2020-09-30,BAC,USD,0000070858,2020-10-30,2020-10-30 16:57:16,2020,Q3,306094000000,233692000000,539786000000,78991000000,0,0,0,10902000000,68951000000,0,68951000000,729199000000,0,0,0,2738452000000,2738452000000,0,17861000000,0,0,0,0,255723000000,0,0,0,0,2469602000000,0,2469602000000,23427000000,85954000000,160447000000,-978000000,0,268850000000,268850000000,2738452000000,0,2738452000000,962891000000,273584000000,-32510000000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000071/0000070858-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000071/bac-20200930.htm
2020-06-30,BAC,USD,0000070858,2020-07-31,2020-07-30 19:25:26,2020,Q2,295417000000,190432000000,485849000000,73502000000,0,0,0,10790000000,68951000000,0,68951000000,597444000000,0,0,0,2741688000000,2741688000000,0,17998000000,0,0,0,0,261638000000,0,0,0,0,2476051000000,0,2476051000000,23427000000,85794000000,157578000000,-1162000000,0,265637000000,265637000000,2741688000000,0,2741688000000,787876000000,279636000000,-15781000000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000040/0000070858-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000040/bac-0630202010xq.htm
2020-03-31,BAC,USD,0000070858,2020-05-01,2020-05-01 16:56:46,2020,Q1,262673000000,206221000000,468894000000,88333000000,0,0,0,10792000000,68951000000,0,68951000000,587152000000,0,0,0,2619954000000,2619954000000,0,30118000000,0,0,0,0,256712000000,0,0,0,0,2355036000000,0,2355036000000,23427000000,85745000000,155866000000,-120000000,0,264918000000,264918000000,2619954000000,0,2619954000000,793373000000,286830000000,24157000000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/0000070858-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/bac-0331202010xq.htm
2020-09-30,BEN,USD,0000038777,2020-11-23,2020-11-20 20:08:41,2020,Q4,3957500000,0,3957500000,1200600000,0,0,5158100000,1348600000,4500800000,4914200000,9415000000,3979700000,0,319500000,15062800000,0,20220900000,793800000,0,703300000,0,143200000,1640300000,4350500000,0,305300000,2951000000,7606800000,0,621000000,9247100000,0,49500000,10472600000,-407600000,0,10114500000,10114500000,19361600000,0,19361600000,0,8700500000,4743000000,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/0000038777-20-000203-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/form10-k93020.htm
2020-06-30,BEN,USD,0000038777,2020-07-28,2020-07-28 08:34:54,2020,Q3,6975900000,45400000,7021300000,927800000,0,0,7949100000,963700000,2190700000,904100000,3094800000,3409300000,0,200100000,7667900000,0,15617000000,341900000,0,747300000,0,142800000,1232000000,1382800000,0,77200000,1921300000,3381300000,0,300600000,4613300000,0,49500000,10514800000,-450100000,0,10114200000,10114200000,14727500000,0,14727500000,3454700000,1428200000,-5547700000,https://www.sec.gov/Archives/edgar/data/38777/000003877720000138/0000038777-20-000138-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877720000138/form10q63020.htm
2020-03-31,BEN,USD,0000038777,2020-04-30,2020-04-30 08:37:20,2020,Q2,6035800000,41400000,6077200000,675200000,0,0,6752400000,975200000,0,0,0,3753900000,0,3184700000,7913800000,0,14666200000,315500000,0,695100000,0,142100000,1152700000,1311000000,0,126200000,1322800000,2760000000,0,308900000,3912700000,0,49500000,10330000000,-476100000,0,9903400000,9903400000,13816100000,0,13816100000,3795300000,1352400000,-4683400000,https://www.sec.gov/Archives/edgar/data/38777/000003877720000106/0000038777-20-000106-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877720000106/form10q33120.htm
