date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2020-12-31,AMP,USD,0000820027,2021-02-24,2021-02-24 15:26:03,2020,Q4,177000000,57000000.0,-519000000.0,39000000,-788000000,216000000,0,0,116000000,18000000,-1016000000.0,0.0,0,-3717000000,3219000000,25000000.0,-473000000.0,-21000000,0,-405000000,-122000000.0,707000000.0,159000000.0,14000000.0,-1316000000,8903000000,10219000000,-1016000000.0,-40000000.0,-1056000000.0,https://www.sec.gov/Archives/edgar/data/820027/000082002721000012/0000820027-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002721000012/amp-20201231.htm
2020-09-30,AMP,USD,0000820027,2020-11-09,2020-11-09 15:43:47,2020,Q3,-140000000,54000000.0,-323000000.0,35000000,1319000000,-216000000,0,0,718000000,-9000000,936000000.0,0.0,0,-4481000000,2940000000,16000000.0,-1525000000.0,-22000000,0,-320000000,-125000000.0,1143000000.0,676000000.0,13000000.0,100000000,10219000000,10119000000,936000000.0,-45000000.0,891000000.0,https://www.sec.gov/Archives/edgar/data/820027/000082002720000074/0000820027-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000074/amp-20200930.htm
2020-06-30,AMP,USD,0000820027,2020-08-10,2020-08-10 16:55:25,2020,Q2,-539000000,49000000.0,-752000000.0,36000000,998000000,0,0,0,1284000000,18000000,-190000000.0,0.0,0,-3871000000,3044000000,-29000000.0,-856000000.0,-11000000,0,-236000000,-128000000.0,-136000000.0,-511000000.0,-1000000.0,-1558000000,10119000000,11677000000,-190000000.0,-33000000.0,-223000000.0,https://www.sec.gov/Archives/edgar/data/820027/000082002720000064/0000820027-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000064/amp-20200630.htm
2020-03-31,AMP,USD,0000820027,2020-05-11,2020-05-11 15:58:40,2020,Q1,2036000000,47000000.0,1273000000.0,36000000,1463000000,0,0,0,-1556000000,38000000,4893000000.0,0.0,0,-3035000000,2996000000,-1000000.0,-40000000.0,-782000000,0,-480000000,-122000000.0,2012000000.0,628000000.0,-17000000.0,5464000000,11677000000,6213000000,4893000000.0,-29000000.0,4864000000.0,https://www.sec.gov/Archives/edgar/data/820027/000082002720000042/0000820027-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000010/amp12312019.htm
2020-12-31,BAC,USD,0000070858,2021-02-24,2021-02-24 16:56:31,2020,Q4,5470000000,487000000.0,257000000.0,434000000,49750000000,0,0,0,42445000000,-1804000000,54594000000.0,0.0,0,-176797000000,75888000000,47027000000.0,-53882000000.0,-10825000000,0,-263000000,-1828000000.0,90854000000.0,77938000000.0,807000000.0,79457000000,380463000000,301006000000,54594000000.0,0.0,54594000000.0,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/0000070858-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/bac-20201231.htm
2020-09-30,BAC,USD,0000070858,2020-10-30,2020-10-30 16:57:16,2020,Q3,4881000000,476000000.0,-1308000000.0,520000000,-42455000000,0,0,0,-26568000000,5248000000,-32638000000.0,0.0,0,-209372000000,96631000000,167718000000.0,54977000000.0,-16247000000,0,-114000000,-1983000000.0,5946000000.0,-12398000000.0,1719000000.0,11660000000,301006000000,289346000000,-32638000000.0,0.0,-32638000000.0,https://www.sec.gov/Archives/edgar/data/70858/000007085820000071/0000070858-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000071/bac-20200930.htm
2020-06-30,BAC,USD,0000070858,2020-07-31,2020-07-30 19:25:26,2020,Q2,3533000000,448000000.0,-457000000.0,534000000,-15626000000,0,0,0,-28550000000,8562000000,-3006000000.0,0.0,0,-40980000000,51306000000,-98675000000.0,-88349000000.0,-13033000000,0,-286000000,-1833000000.0,144284000000.0,129132000000.0,1179000000.0,38956000000,289346000000,250390000000,-3006000000.0,0.0,-3006000000.0,https://www.sec.gov/Archives/edgar/data/70858/000007085820000040/0000070858-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000040/bac-0630202010xq.htm
2020-03-31,BAC,USD,0000070858,2020-05-01,2020-05-01 16:56:46,2020,Q1,4010000000,432000000.0,-229000000.0,543000000,8005000000,0,0,0,29615000000,6282000000,19043000000.0,0.0,0,-25263000000,38618000000,-103766000000.0,-90411000000.0,-7843000000,0,-7434000000,-2083000000.0,178507000000.0,161147000000.0,-949000000.0,88830000000,250390000000,161560000000,19043000000.0,0.0,19043000000.0,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/0000070858-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/bac-0331202010xq.htm
2020-09-30,BEN,USD,0000038777,2020-11-23,2020-11-20 20:08:41,2020,Q4,78900000,56100000.0,27400000.0,35400000,290600000,0,0,-83000000,50000000,-113600000,374800000.0,-18400000.0,-3739600000,-108300000,337300000,16800000.0,-3512200000.0,-139900000,8500000,-29900000,-134100000.0,393200000.0,97800000.0,21200000.0,-3018400000,3957500000,6975900000,374800000.0,-18400000.0,356400000.0,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/0000038777-20-000203-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/form10-k93020.htm
2020-06-30,BEN,USD,0000038777,2020-07-28,2020-07-28 08:34:54,2020,Q3,290400000,22200000.0,-43100000.0,29100000,449700000,0,0,45400000,99300000,-242700000,505600000.0,-11800000.0,-62000000,182700000,211500000,-57400000.0,263000000.0,-1200000,0,-900000,-133900000.0,296500000.0,160500000.0,11000000.0,940100000,6975900000,6035800000,505600000.0,-11800000.0,493800000.0,https://www.sec.gov/Archives/edgar/data/38777/000003877720000138/0000038777-20-000138-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877720000138/form10q63020.htm
