date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2020-12-31,AMP,USD,0000820027,2021-02-24,2021-02-24 15:26:03,2020,Q4,3189000000,0,3189000000,1.0,0,828000000,1096000000,1924000000,-2605000000,-681000000,2999000000,0,44000000,57000000.0,291000000,0.09125117591721543,0,0.0,181162000,190000000,0.05957980558168705,13000000,177000000,0.055503292568203196,1.48,1.45,119800000,122200000,https://www.sec.gov/Archives/edgar/data/820027/000082002721000012/0000820027-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002721000012/amp-20201231.htm
2020-09-30,AMP,USD,0000820027,2020-11-09,2020-11-09 15:43:47,2020,Q3,3013000000,0,3013000000,1.0,0,763000000,1028000000,1791000000,-1790237000,763000,3197000000,0,47000000,54000000.0,-83000000,-0.027547295054762694,0,0.0,0,-184000000,-0.061068702290076333,-44000000,-140000000,-0.04646531695984069,-1.14,-1.14,123000000,124900000,https://www.sec.gov/Archives/edgar/data/820027/000082002720000074/0000820027-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000074/amp-20200930.htm
2020-06-30,AMP,USD,0000820027,2020-08-10,2020-08-10 16:55:25,2020,Q2,2730000000,0,2730000000,1.0,0,776000000,940000000,1716000000,1481000000,3197000000,3256000000,0,59000000,49000000.0,-418000000,-0.15311355311355312,0,0.0,270000000,-526000000,-0.19267399267399268,13000000,-539000000,-0.19743589743589743,-4.31,-4.31,125000000,126200000,https://www.sec.gov/Archives/edgar/data/820027/000082002720000064/0000820027-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000064/amp-20200630.htm
2020-03-31,AMP,USD,0000820027,2020-05-11,2020-05-11 15:58:40,2020,Q1,3026000000,0,3026000000,1.0,0,753000000,995000000,1748000000,-1144000000,604000000,675000000,0,71000000,47000000.0,2469000000,0.8159286186384667,0,0.0,373000000,2351000000,0.7769332452081956,315000000,2036000000,0.6728354263053536,16.11,15.88,126400000,128200000,https://www.sec.gov/Archives/edgar/data/820027/000082002720000042/0000820027-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/820027/000082002720000010/amp12312019.htm
2020-12-31,BAC,USD,0000070858,2021-02-24,2021-02-24 16:56:31,2020,Q4,20099000000,0,20099000000,1.0,0,8807000000,1378000000,10185000000,0,0,0,11461000000,1208000000,487000000.0,7814000000,0.3887755609731827,0,0.0,0,6119000000,0.30444300711478184,649000000,5470000000,0.27215284342504603,0.6,0.59,8724900000,8785000000,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/0000070858-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085821000023/bac-20201231.htm
2020-09-30,BAC,USD,0000070858,2020-10-30,2020-10-30 16:57:16,2020,Q3,20336000000,0,20336000000,1.0,0,9582000000,1238000000,10820000000,0,0,0,11486000000,1357000000,476000000.0,6379000000,0.3136801730920535,0,0.0,0,4546000000,0.22354445318646735,-335000000,4881000000,0.2400177025963808,0.51,0.51,8732900000,8777500000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000071/0000070858-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000071/bac-20200930.htm
2020-06-30,BAC,USD,0000070858,2020-07-31,2020-07-30 19:25:26,2020,Q2,22326000000,0,22326000000,1.0,0,8659000000,1303000000,9962000000,0,0,0,12540000000,1692000000,448000000.0,5939000000,0.26601272059482217,0,0.0,0,3799000000,0.1701603511600824,266000000,3533000000,0.15824599122099794,0.38,0.37,8739900000,8768100000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000040/0000070858-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000040/bac-0630202010xq.htm
2020-03-31,BAC,USD,0000070858,2020-05-01,2020-05-01 16:56:46,2020,Q1,22767000000,0,22767000000,1.0,0,8974000000,1215000000,10189000000,0,0,0,16098000000,3968000000,432000000.0,8931000000,0.39227829753590726,0,0.0,0,4531000000,0.19901611982255019,521000000,4010000000,0.1761321210524004,0.4,0.4,8815600000,8862700000,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/0000070858-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/70858/000007085820000023/bac-0331202010xq.htm
2020-09-30,BEN,USD,0000038777,2020-11-23,2020-11-20 20:08:41,2020,Q4,1627400000,1199000000,428400000,0.26324198107410596,0,328000000,829000000,1157000000,-775000000,382000000,1581000000,2900000,15700000,56100000.0,223800000,0.13751997050510015,46400000,0.028511736512228093,153200000,199600000,0.1226496251689812,73100000,78900000,0.04848224161238786,0.15,0.15,491100000,491700000,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/0000038777-20-000203-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/form10-k93020.htm
2020-06-30,BEN,USD,0000038777,2020-07-28,2020-07-28 08:34:54,2020,Q3,1188100000,755100000,433000000,0.3644474370844205,0,179300000,368000000,547300000,-368000000,179300000,934400000,2300000,6800000,22200000.0,335500000,0.2823836377409309,253700000,0.21353421429172628,16100000,269800000,0.2270852621833179,16100000,290400000,0.24442387004460903,0.58,0.58,490400000,490700000,https://www.sec.gov/Archives/edgar/data/38777/000003877720000138/0000038777-20-000138-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877720000138/form10q63020.htm
