symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,full_date,calendar_year
^DJI,2020-12-31,30417.640625,30637.470703,30344.5,30606.480469,30606.480469,284470000,284470000,188.83984,0.62082,30529.48,"December 31, 20",0.0062082,2020-12-31,2020
^DJI,2020-12-30,30415.089844,30525.349609,30393.039063,30409.560547,30409.560547,291890000,291890000,-5.5293,-0.01817945,30442.65,"December 30, 20",-0.0001817945,2020-12-30,2020
^DJI,2020-12-29,30492.070313,30588.789063,30274.240234,30335.669922,30335.669922,357610000,357610000,-156.40039,-0.51292,30399.57,"December 29, 20",-0.0051292,2020-12-29,2020
^DJI,2020-12-28,30283.230469,30525.560547,30283.230469,30403.970703,30403.970703,302490000,302490000,120.74023,0.3987,30404.25,"December 28, 20",0.003987,2020-12-28,2020
^DJI,2020-12-24,30155.919922,30209.669922,30099.300781,30199.869141,30199.869141,145570000,145570000,43.94922,0.14574,30169.61,"December 24, 20",0.0014574,2020-12-24,2020
^DJI,2020-12-23,30046.730469,30292.529297,30046.730469,30129.830078,30129.830078,274050000,274050000,83.09961,0.27657,30156.36,"December 23, 20",0.0027657,2020-12-23,2020
^DJI,2020-12-22,30200.199219,30200.199219,29992.890625,30015.509766,30015.509766,388810000,388810000,-184.68945,-0.61155,30069.53,"December 22, 20",-0.0061155,2020-12-22,2020
^DJI,2020-12-21,30159.0,30304.140625,29755.529297,30216.449219,30216.449219,437480000,437480000,57.44922,0.19049,30092.04,"December 21, 20",0.0019049,2020-12-21,2020
^DJI,2020-12-18,30314.259766,30343.589844,30029.439453,30179.050781,30179.050781,782070000,782070000,-135.20898,-0.44602,30184.03,"December 18, 20",-0.0044602,2020-12-18,2020
^DJI,2020-12-17,30216.0,30323.779297,30216.0,30303.369141,30303.369141,345530000,345530000,87.36914,0.28915,30281.05,"December 17, 20",0.0028915,2020-12-17,2020
^DJI,2020-12-16,30191.380859,30236.029297,30080.109375,30154.539063,30154.539063,344590000,344590000,-36.8418,-0.12203,30156.89,"December 16, 20",-0.0012203,2020-12-16,2020
