symbol,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,full_date,calendar_year
AMP,2020-12-31,191.21,194.66,191.13,194.33,186.265182,424080,422300,3.12,1.63,193.71,"December 31, 20",0.0163,2020-12-31,2020
AMP,2020-12-30,188.83,192.5,188.83,191.35,183.408844,398125,393700,2.52,1.33,191.42,"December 30, 20",0.0133,2020-12-30,2020
AMP,2020-12-29,190.97,191.36,188.84,189.07,181.223495,412067,408500,-1.9,-0.99492,189.58,"December 29, 20",-0.0099492,2020-12-29,2020
AMP,2020-12-28,191.16,193.07,189.93,189.98,182.095718,406971,402700,-1.18,-0.61728,191.11,"December 28, 20",-0.0061728,2020-12-28,2020
AMP,2020-12-24,188.98,189.88,186.95,189.7,181.827301,216122,212100,0.72,0.38099,188.79,"December 24, 20",0.0038099,2020-12-24,2020
AMP,2020-12-23,185.63,189.69,185.63,188.54,180.715439,453870,445000,2.91,1.57,188.45,"December 23, 20",0.0157,2020-12-23,2020
AMP,2020-12-22,187.24,187.72,184.44,185.06,177.379898,596248,591500,-2.18,-1.16,185.86,"December 22, 20",-0.0116,2020-12-22,2020
AMP,2020-12-21,186.55,187.765,182.83,186.76,179.009354,785157,767800,0.21,0.11257,186.39,"December 21, 20",0.0011257,2020-12-21,2020
AMP,2020-12-18,188.05,190.32,185.63,186.94,179.18187,2388771,2279700,-1.11,-0.59027,187.16,"December 18, 20",-0.0059027,2020-12-18,2020
AMP,2020-12-17,190.2,190.79,188.1695,190.05,182.162796,694043,686100,-0.15,-0.07886435,189.68,"December 17, 20",-0.0007886435,2020-12-17,2020
AMP,2020-12-16,192.25,192.68,188.86,189.74,181.865692,797778,790700,-2.51,-1.31,189.96,"December 16, 20",-0.0131,2020-12-16,2020
AMP,2020-12-15,193.09,193.145,189.64,190.77,182.852951,683398,678300,-2.32,-1.2,191.23,"December 15, 20",-0.012,2020-12-15,2020
AMP,2020-12-14,194.61,194.61,190.89,190.99,183.063828,948977,941800,-3.62,-1.86,191.61,"December 14, 20",-0.0186,2020-12-14,2020
AMP,2020-12-11,190.38,192.33,189.48,191.74,183.782654,546426,539900,1.36,0.71436,191.1,"December 11, 20",0.0071436,2020-12-11,2020
AMP,2020-12-10,191.2,193.12,190.27,192.85,184.846603,843194,838500,1.65,0.86297,192.39,"December 10, 20",0.0086297,2020-12-10,2020
AMP,2020-12-09,194.02,196.42,191.81,193.24,185.220428,697010,690200,-0.78,-0.40202,193.58,"December 09, 20",-0.0040202,2020-12-09,2020
AMP,2020-12-08,192.39,193.7,191.56,192.51,184.520706,659601,649000,0.12,0.0623733,192.52,"December 08, 20",0.000623733,2020-12-08,2020
AMP,2020-12-07,195.14,195.34,192.5621,194.44,186.370636,817163,810700,-0.7,-0.35872,193.87,"December 07, 20",-0.0035872,2020-12-07,2020
AMP,2020-12-04,196.05,198.158,195.43,196.28,188.134262,519404,514200,0.23,0.11732,196.52,"December 04, 20",0.0011732,2020-12-04,2020
AMP,2020-12-03,193.08,196.69,192.85,194.71,186.629425,729933,722400,1.63,0.84421,195.21,"December 03, 20",0.0084421,2020-12-03,2020
AMP,2020-12-02,189.95,193.86,189.31,193.44,185.412125,829572,823000,3.49,1.84,192.04,"December 02, 20",0.0184,2020-12-02,2020
AMP,2020-12-01,189.51,190.79,187.93,190.25,182.354507,782642,773700,0.74,0.39048,189.69,"December 01, 20",0.0039048,2020-12-01,2020
AMP,2020-11-30,188.35,190.12,184.735,185.24,177.552429,1106917,1096700,-3.11,-1.65,186.03,"November 30, 20",-0.0165,2020-11-30,2020
AMP,2020-11-27,190.08,191.5,189.25,190.75,182.83374,300281,300300,0.67,0.35248,190.51,"November 27, 20",0.0035248,2020-11-27,2020
AMP,2020-11-25,191.79,191.94,188.48,190.19,182.297012,679272,670000,-1.6,-0.83425,190.29,"November 25, 20",-0.0083425,2020-11-25,2020
AMP,2020-11-24,186.81,193.19,185.72,192.67,184.674072,769231,763000,5.86,3.14,191.27,"November 24, 20",0.0314,2020-11-24,2020
AMP,2020-11-23,181.73,184.25,181.08,183.76,176.133835,537535,526500,2.03,1.12,183.23,"November 23, 20",0.0112,2020-11-23,2020
AMP,2020-11-20,182.81,182.99,179.77,179.8,172.338211,549207,527900,-3.01,-1.65,180.68,"November 20, 20",-0.0165,2020-11-20,2020
AMP,2020-11-19,181.82,184.1,180.26,183.63,176.009247,444811,436900,1.81,0.99549,182.9,"November 19, 20",0.0099549,2020-11-19,2020
AMP,2020-11-18,184.5,188.4423,183.28,183.33,175.72168,451544,446300,-1.17,-0.63415,185.61,"November 18, 20",-0.0063415,2020-11-18,2020
AMP,2020-11-17,183.61,185.08,181.51,184.23,176.58432,588733,581500,0.62,0.33767,183.89,"November 17, 20",0.0033767,2020-11-17,2020
AMP,2020-11-16,188.46,188.57,184.32,185.97,178.252136,648504,635100,-2.49,-1.32,186.3,"November 16, 20",-0.0132,2020-11-16,2020
AMP,2020-11-13,179.58,185.62,178.99,184.88,177.207382,718989,711200,5.3,2.95,183.82,"November 13, 20",0.0295,2020-11-13,2020
AMP,2020-11-12,180.38,180.88,175.6701,177.3,169.94194,586239,577400,-3.08,-1.71,177.66,"November 12, 20",-0.0171,2020-11-12,2020
AMP,2020-11-11,185.16,185.18,180.03,181.3,173.77594,573590,566400,-3.86,-2.08,182.14,"November 11, 20",-0.0208,2020-11-11,2020
AMP,2020-11-10,182.74,184.53,178.6472,183.17,175.568314,1042794,1034400,0.43,0.23531,182.57,"November 10, 20",0.0023531,2020-11-10,2020
AMP,2020-11-09,182.58,187.475,182.18,182.94,175.347885,1412187,1386800,0.36,0.19717,184.21,"November 09, 20",0.0019717,2020-11-09,2020
AMP,2020-11-06,172.95,172.95,168.7,169.78,162.733994,373256,365400,-3.17,-1.83,170.53,"November 06, 20",-0.0183,2020-11-06,2020
AMP,2020-11-05,170.86,174.63,170.53,172.69,164.526428,653729,646200,1.83,1.07,172.79,"November 05, 20",0.0107,2020-11-05,2020
AMP,2020-11-04,164.49,172.94,161.94,168.4,160.439194,855479,848000,3.91,2.38,169.74,"November 04, 20",0.0238,2020-11-04,2020
